ihh,title,author,genre,quantity,shelf,ISBN,category
B00001,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,3,A1,9.78075E+12,Leisure
B00002,The Hobbit,J.R.R. Tolkien,Fantasy,0,A2,9.78026E+12,Leisure
B00003,Percy Jackson: The Lightning Thief,Rick Riordan,Fantasy,3,A3,9.78079E+12,Leisure
B00004,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Fantasy,2,A4,9.78006E+12,Leisure
B00005,The Alchemist,Paulo Coelho,Fiction,1,B1,9.78006E+12,Leisure
B00006,The Book Thief,Markus Zusak,Historical Fiction,0,B2,9.78038E+12,Leisure
B00007,The Hunger Games,Suzanne Collins,Dystopian,1,A7,LIB0000000007,Leisure
B00008,Pride and Prejudice,Jane Austen,Romance,1,A8,LIB0000000008,Leisure
B00009,1984,George Orwell,Dystopian,5,A9,LIB0000000009,Leisure
B00010,Animal Farm,George Orwell,Satire,0,A10,LIB0000000010,Leisure
B00011,To Kill a Mockingbird,Harper Lee,Fiction,5,A11,LIB0000000011,Leisure
B00012,The Great Gatsby,F. Scott Fitzgerald,Classic,5,A12,LIB0000000012,Leisure
B00013,The Catcher in the Rye,J.D. Salinger,Coming-of-Age,4,A13,LIB0000000013,Leisure
B00014,The Fault in Our Stars,John Green,Romance,0,A14,LIB0000000014,Leisure
B00015,The Kite Runner,Khaled Hosseini,Historical Fiction,4,A15,LIB0000000015,Leisure
B00016,A Thousand Splendid Suns,Khaled Hosseini,Historical Fiction,3,A16,LIB0000000016,Leisure
B00017,The Da Vinci Code,Dan Brown,Mystery,0,A17,LIB0000000017,Leisure
B00018,Angels & Demons,Dan Brown,Thriller,0,A18,LIB0000000018,Leisure
B00019,Sherlock Holmes,Arthur Conan Doyle,Mystery,0,A19,LIB0000000019,Leisure
B00020,Murder on the Orient Express,Agatha Christie,Mystery,1,A20,LIB0000000020,Leisure
B00021,The Silent Patient,Alex Michaelides,Thriller,1,A21,LIB0000000021,Leisure
B00022,It Ends with Us,Colleen Hoover,Romance,4,A22,LIB0000000022,Leisure
B00023,The Midnight Library,Matt Haig,Fiction,4,A23,LIB0000000023,Leisure
B00024,Atomic Habits,James Clear,Self-Help,0,A24,LIB0000000024,Leisure
B00025,The Psychology of Money,Morgan Housel,Finance,4,A25,LIB0000000025,Academic
B00026,Rich Dad Poor Dad,Robert Kiyosaki,Finance,1,A26,LIB0000000026,Academic
B00027,Sapiens,Yuval Noah Harari,History,5,A27,LIB0000000027,Leisure
B00028,Educated,Tara Westover,Memoir,5,A28,LIB0000000028,Leisure
B00029,The Diary of a Young Girl,Anne Frank,Biography,5,A29,LIB0000000029,Leisure
B00030,Ikigai,Héctor García,Self-Help,4,A30,LIB0000000030,Leisure
B00031,The Fault in Our Stars — Library00031,John Green,Romance,1,A31,LIB0000000031,Leisure
B00032,The Kite Runner — Library00032,Khaled Hosseini,Historical Fiction,4,A32,LIB0000000032,Leisure
B00033,1984 — Library00033,George Orwell,Dystopian,0,A33,LIB0000000033,Leisure
B00034,The Psychology of Money — Library00034,Morgan Housel,Finance,1,A34,LIB0000000034,Academic
B00035,The Midnight Library — Library00035,Matt Haig,Fiction,3,A35,LIB0000000035,Leisure
B00036,To Kill a Mockingbird — Library00036,Harper Lee,Fiction,2,A36,LIB0000000036,Leisure
B00037,The Alchemist — Library00037,Paulo Coelho,Fiction,1,A37,LIB0000000037,Leisure
B00038,The Psychology of Money — Library00038,Morgan Housel,Finance,2,A38,LIB0000000038,Academic
B00039,"The Lion, the Witch and the Wardrobe — Library00039",C.S. Lewis,Fantasy,0,A39,LIB0000000039,Leisure
B00040,The Catcher in the Rye — Library00040,J.D. Salinger,Coming-of-Age,0,A40,LIB0000000040,Leisure
B00041,The Great Gatsby — Library00041,F. Scott Fitzgerald,Classic,2,A41,LIB0000000041,Leisure
B00042,Murder on the Orient Express — Library00042,Agatha Christie,Mystery,2,A42,LIB0000000042,Leisure
B00043,Rich Dad Poor Dad — Library00043,Robert Kiyosaki,Finance,0,A43,LIB0000000043,Academic
B00044,Atomic Habits — Library00044,James Clear,Self-Help,3,A44,LIB0000000044,Leisure
B00045,Angels & Demons — Library00045,Dan Brown,Thriller,0,A45,LIB0000000045,Leisure
B00046,Ikigai — Library00046,Héctor García,Self-Help,3,A46,LIB0000000046,Leisure
B00047,Percy Jackson: The Lightning Thief — Library00047,Rick Riordan,Fantasy,4,A47,LIB0000000047,Leisure
B00048,Animal Farm — Library00048,George Orwell,Satire,5,A48,LIB0000000048,Leisure
B00049,Murder on the Orient Express — Library00049,Agatha Christie,Mystery,2,A49,LIB0000000049,Leisure
B00050,Sherlock Holmes — Library00050,Arthur Conan Doyle,Mystery,1,A50,LIB0000000050,Leisure
B00051,The Midnight Library — Library00051,Matt Haig,Fiction,0,A1,LIB0000000051,Leisure
B00052,The Hobbit — Library00052,J.R.R. Tolkien,Fantasy,5,A2,LIB0000000052,Leisure
B00053,Pride and Prejudice — Library00053,Jane Austen,Romance,2,A3,LIB0000000053,Leisure
B00054,Percy Jackson: The Lightning Thief — Library00054,Rick Riordan,Fantasy,1,A4,LIB0000000054,Leisure
B00055,Educated — Library00055,Tara Westover,Memoir,0,A5,LIB0000000055,Leisure
B00056,The Catcher in the Rye — Library00056,J.D. Salinger,Coming-of-Age,2,A6,LIB0000000056,Leisure
B00057,The Kite Runner — Library00057,Khaled Hosseini,Historical Fiction,5,A7,LIB0000000057,Leisure
B00058,Sapiens — Library00058,Yuval Noah Harari,History,2,A8,LIB0000000058,Leisure
B00059,The Book Thief — Library00059,Markus Zusak,Historical Fiction,2,A9,LIB0000000059,Leisure
B00060,The Great Gatsby — Library00060,F. Scott Fitzgerald,Classic,1,A10,LIB0000000060,Leisure
B00061,It Ends with Us — Library00061,Colleen Hoover,Romance,2,A11,LIB0000000061,Leisure
B00062,The Midnight Library — Library00062,Matt Haig,Fiction,5,A12,LIB0000000062,Leisure
B00063,The Silent Patient — Library00063,Alex Michaelides,Thriller,0,A13,LIB0000000063,Leisure
B00064,Murder on the Orient Express — Library00064,Agatha Christie,Mystery,5,A14,LIB0000000064,Leisure
B00065,The Book Thief — Library00065,Markus Zusak,Historical Fiction,4,A15,LIB0000000065,Leisure
B00066,Atomic Habits — Library00066,James Clear,Self-Help,1,A16,LIB0000000066,Leisure
B00067,The Book Thief — Library00067,Markus Zusak,Historical Fiction,3,A17,LIB0000000067,Leisure
B00068,The Catcher in the Rye — Library00068,J.D. Salinger,Coming-of-Age,2,A18,LIB0000000068,Leisure
B00069,Ikigai — Library00069,Héctor García,Self-Help,5,A19,LIB0000000069,Leisure
